"Date","Host","State","Collection","SiteName","SiteID","Path","Protocol","Port","Header","AuthAnon","AuthBasic","AuthWin","Status","runTime","PipeLineMode","bitEnabled"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","bill 2nd favorite site",,"bill 2nd favorite site","2","\\ohaephqia010\macss","ftp","1207","",,,,"Started",,,
"06172016","vmaephqws200","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","http","80","test6","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta","False","True","False","Started","v4.0","Integrated","False"
"06172016","vmaephqws200","test6",,"test6","3","D:\WebContent\test6","https","443","test6-ta-d","False","True","False","Started","v4.0","Integrated","False"
