"Date","Host","State","Collection","SiteName","SiteID","Path","Protocol","Port","Header","AuthAnon","AuthBasic","AuthWin","Status","runTime","PipeLineMode","bitEnabled"
"06202016","VMAEPHQWS241","adam",,"adam","20","D:\WebContent\adam","http","80","adam-241","False","False","True","Started","v2.0","Classic","False"
"06202016","VMAEPHQWS241","adam",,"adam","20","D:\WebContent\adam","http","80","adam","False","False","True","Started","v2.0","Classic","False"
"06202016","VMAEPHQWS241","adammobile",,"adammobile","7","D:\WebContent\adammobile","http","80","adammobile","False","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","aep","permits","aep-permits","18","D:\WebContent\aep-permits","http","80","aep-permits","False","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","anet",,"anet","5","D:\WebContent\anet","http","80","anet","False","False","True","Started","v4.0","Classic","False"
"06202016","VMAEPHQWS241","cdswebservice",,"cdswebservice","10","D:\WebContent\cdswebservice","http","80","cdswebservice","True","True","False","Started","v4.0","Integrated","False"
"06202016","VMAEPHQWS241","contributor",,"contributor","9","D:\WebContent\contributor","http","80","contributor","False","False","True","Started","v4.0","Integrated","False"
"06202016","VMAEPHQWS241","csccop",,"csccop","17","D:\WebContent\csccop","http","80","csccop","False","False","True","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","cscrg",,"cscrg","14","D:\WebContent\cscrg","http","80","cscrg-pr","True","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","cscrg",,"cscrg","14","D:\WebContent\cscrg","http","80","cscrg-241","True","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","cscrg",,"cscrg","14","D:\WebContent\cscrg","http","80","cscrg","True","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","cscrg",,"cscrg","14","D:\WebContent\cscrg","http","80","cscrg.aepsc.com","True","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","Default Web Site",,"Default Web Site","1","%SystemDrive%\inetpub\wwwroot","http","80","","True","False","False","Started",,,
"06202016","VMAEPHQWS241","edish",,"edish","11","D:\WebContent\edish","http","80","edish","False","False","True","Started","v4.0","Classic","False"
"06202016","VMAEPHQWS241","eeem",,"eeem","8","D:\WebContent\eeem","http","80","eeem","False","False","True","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","managedaccounts",,"managedaccounts","3","D:\WebContent\managedaccounts","http","80","managedaccounts","False","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","masubscriptionadmin",,"masubscriptionadmin","16","D:\WebContent\masubscriptionadmin","http","80","masubscriptionadmin-pr-241","False","False","True","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","masubscriptionadmin",,"masubscriptionadmin","16","D:\WebContent\masubscriptionadmin","http","80","masubscriptionadmin","False","False","True","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","merlin","data","merlin-data","4","D:\WebContent\merlin-data","http","80","merlin-data","True","False","True","Started","v2.0","Integrated","True"
"06202016","VMAEPHQWS241","messageboardws",,"messageboardws","12","D:\WebContent\messageboardws","http","80","messageboardws","True","True","False","Started","v4.0","Integrated","False"
"06202016","VMAEPHQWS241","mobilealertssms",,"mobilealertssms","15","D:\WebContent\mobilealertssms","http","80","mobilealertssms-v","False","True","False","Started","v4.0","Classic","False"
"06202016","VMAEPHQWS241","mobilealertssms",,"mobilealertssms","15","D:\WebContent\mobilealertssms","http","80","mobilealertssms-v-241","False","True","False","Started","v4.0","Classic","False"
"06202016","VMAEPHQWS241","oca",,"oca","22","d:\WebContent\oca","http","80","oca","False","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","oca",,"oca","22","d:\WebContent\oca","http","80","oca-pr","False","False","True","Started","v2.0","Classic","True"
"06202016","VMAEPHQWS241","paperlessadmin",,"paperlessadmin","21","D:\WebContent\paperlessadmin","http","80","paperlessadmin","False","False","True","Started","v4.0","Integrated","False"
"06202016","VMAEPHQWS241","txhanrecon",,"txhanrecon","19","D:\WebContent\txhanrecon","http","80","txhanrecon","False","True","False","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","txhanrecon",,"txhanrecon","19","D:\WebContent\txhanrecon","https","443","txhanrecon","False","True","False","Started","v4.0","Integrated","True"
"06202016","VMAEPHQWS241","useradmin",,"useradmin","6","D:\WebContent\useradmin","http","80","useradmin","False","False","True","Started","","Classic","True"
"06202016","VMAEPHQWS241","vabillprint",,"vabillprint","2","D:\WebContent\vabillprint","http","80","vabillprint","True","False","True","Started","v4.0","Integrated","False"
"06202016","VMAEPHQWS241","webster",,"webster","13","D:\WebContent\webster","http","80","webster","False","False","True","Started","v4.0","Integrated","True"
